                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2154,                 1.3498,                 1.5747,                0.60285,                0.53877,                0.53906,                0.31438,                 1.6035,                 1.6513,                 1.9918,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.1747,                 1.3095,                  1.539,                0.60241,                0.55556,                 0.5506,                0.32642,                 1.6043,                 1.5674,                 1.9859,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.1847,                 1.3025,                 1.5516,                 0.6229,                0.53609,                0.55868,                0.32028,                 1.5563,                 1.5634,                 1.9513,               0.000614,               0.000614,               0.000614
                     37,                 1.1739,                 1.2866,                 1.5456,                0.62892,                0.57314,                0.58788,                0.34016,                 1.5659,                 1.4802,                  1.927,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1703,                 1.2699,                 1.5259,                0.59922,                0.54978,                0.56146,                0.32624,                 1.5911,                 1.5302,                  1.957,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1585,                 1.2743,                   1.52,                0.61435,                0.58753,                0.59339,                0.34954,                 1.5485,                  1.455,                 1.9227,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.1714,                 1.2616,                 1.5282,                 0.6177,                0.54516,                0.55664,                 0.3344,                 1.5834,                 1.5629,                 1.9643,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.2012,                 1.2659,                 1.6527,                0.62322,                0.56675,                0.56856,                0.33741,                 1.5508,                 1.5262,                 1.9709,               0.000416,               0.000416,               0.000416
                     42,                 1.1718,                 1.2237,                 1.6329,                0.63999,                0.56415,                0.58647,                0.34343,                 1.5233,                 1.4956,                 1.8995,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.1417,                 1.1729,                 1.6018,                0.62077,                0.54916,                0.55776,                0.32761,                 1.5507,                 1.5404,                 1.9679,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.1434,                 1.1625,                 1.6019,                0.65065,                0.56425,                0.59959,                 0.3569,                  1.528,                 1.5053,                 1.9251,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.1166,                 1.1365,                 1.5814,                0.64113,                0.58034,                0.60037,                0.35722,                 1.5449,                 1.4586,                 1.9169,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.0998,                 1.1148,                 1.5605,                0.64172,                0.58833,                0.60418,                0.35867,                 1.5173,                 1.4412,                 1.8986,               0.000218,               0.000218,               0.000218
                     47,                 1.0868,                 1.1008,                  1.562,                0.64551,                0.57059,                0.59473,                0.36115,                 1.5213,                 1.4618,                 1.9105,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0757,                 1.0847,                 1.5542,                0.65041,                0.58193,                0.60174,                0.35871,                 1.5232,                 1.4622,                 1.9071,              0.0001388,              0.0001388,              0.0001388
                     49,                  1.059,                 1.0744,                 1.5426,                0.62751,                0.59387,                0.60183,                0.36213,                 1.5219,                 1.4494,                 1.9218,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0736,                 1.0699,                 1.5459,                0.64761,                0.58761,                0.60046,                0.36334,                 1.5162,                 1.4564,                  1.914,               5.96e-05,               5.96e-05,               5.96e-05
